Age,Education_Level,Skill_Level,Internship_Experience,Gender,Preferred_Job_Role,CGPA,Projects_Count,Study_Hours_Per_Day,Placement
21,Bachelor's,Advanced,None,Male,Data Scientist,7.58,2,4.4,No
22,PhD,Intermediate,Short,Male,Data Scientist,,2,3.6,No
25,Master's,Intermediate,Long,Male,ML Engineer,6.88,3,4.6,No
21,Bachelor's,Advanced,Medium,Male,Data Scientist,7.91,7,4.6,Yes
27,Diploma,Advanced,Medium,Male,Data Scientist,6.92,1,4.6,No
26,Diploma,,Medium,Male,Business Analyst,6.19,4,3,No
22,High School,Advanced,Medium,Female,Software Developer,6.39,1,4.1,Yes
19,Master's,Advanced,Medium,Male,Business Analyst,6.16,0,5.8,No
19,Bachelor's,Expert,None,Female,Data Analyst,7.82,1,4.2,No
19,Master's,Advanced,Short,Female,Software Developer,7.74,4,4.8,No
19,High School,Advanced,None,Female,Data Analyst,7.69,4,4.8,No
26,PhD,Intermediate,Long,Female,Data Analyst,8.13,2,5.2,No
21,Master's,Expert,Long,Female,ML Engineer,8.67,5,5.4,Yes
24,Bachelor's,Advanced,None,Male,Data Analyst,7.07,1,4.2,No
21,Diploma,Beginner,Medium,Male,Software Developer,7.97,4,3,No
29,Diploma,Beginner,Long,Male,Data Scientist,6.18,1,2.4,No
23,Bachelor's,Intermediate,None,Female,Data Scientist,8.84,1,6.2,No
25,Bachelor's,Advanced,Short,Female,ML Engineer,6.48,2,5.8,No
20,Bachelor's,Expert,Long,Male,Data Analyst,6.96,1,5.6,No
24,Bachelor's,Beginner,None,Female,Software Developer,7.06,5,5.9,No
24,Bachelor's,Intermediate,Medium,Male,ML Engineer,6.23,2,4.2,Yes
29,Diploma,Intermediate,None,Female,Software Developer,7.63,1,3.4,Yes
21,Bachelor's,Expert,Long,Male,ML Engineer,7.79,2,2.8,Yes
24,Bachelor's,Advanced,Long,Male,Data Analyst,7.43,2,2.6,No
28,Bachelor's,Advanced,Long,Male,Data Scientist,6.21,2,6.6,Yes
28,Master's,Intermediate,Short,Male,Data Scientist,9.39,1,3.7,Yes
23,Diploma,Intermediate,Medium,Male,Business Analyst,8.09,3,6.3,No
30,Bachelor's,Intermediate,Medium,Male,ML Engineer,9.97,2,4.2,Yes
20,Bachelor's,Beginner,None,Female,Data Scientist,6.88,3,3.4,No
27,High School,Advanced,Medium,Male,Software Developer,8.46,3,2.6,Yes
26,Bachelor's,Advanced,None,Male,Data Analyst,8.3,3,3.5,No
21,Diploma,Expert,Short,Female,Software Developer,7.34,4,6.9,No
26,High School,Expert,None,Female,Software Developer,8.87,4,2.7,No
27,Master's,Intermediate,None,Male,ML Engineer,7.24,4,8.1,No
21,PhD,Advanced,,Male,Software Developer,7.28,3,3.1,No
