Age,Years_At_Company,Monthly_Salary,Performance_Score,Training_Hours,Projects_Completed,Overtime_Hours,Promotion
60,2,83200,5.8,39,7,9,Yes
50,5,76900,5.5,20,1,4,No
36,3,67900,5.8,41,6,12,No
29,8,101300,5.4,28,10,19,Yes
42,10,104800,7.3,33,5,10,No
60,3,46900,5.7,43,5,21,No
40,2,89100,7.0,54,5,14,No
44,5,98200,4.7,35,4,19,No
32,7,75100,7.5,44,7,10,No
32,6,86900,8.1,62,2,18,Yes
45,6,88400,4.2,36,10,6,No
57,2,70900,7.2,71,6,16,No
45,4,65700,8.5,49,4,13,Yes
24,9,81400,5.5,15,7,18,Yes
43,7,84100,9.4,53,6,6,Yes
23,11,116100,8.0,46,2,10,No
45,8,96200,6.2,53,6,18,No
51,3,64900,6.7,46,6,6,Yes
59,2,78600,7.4,38,2,14,No
23,3,27800,6.8,24,6,3,No
42,4,91200,7.6,38,3,17,Yes
54,5,51400,5.6,26,10,5,No
33,5,72100,7.1,32,6,16,Yes
43,4,57200,4.8,42,8,16,No
46,3,51100,6.6,58,3,7,Yes
48,8,105400,5.9,42,5,17,No
49,2,60000,5.6,22,4,13,No
37,1,68700,8.3,47,1,7,No
36,4,73300,8.3,56,2,6,No
24,5,84700,7.8,33,7,1,Yes
58,4,75200,5.3,34,5,14,No
28,3,51300,6.3,38,5,2,No
42,4,88900,8.5,33,8,13,Yes
30,8,80600,7.3,47,3,12,No
60,2,43700,9.9,43,4,15,No
39,2,60600,7.2,44,4,9,Yes
25,2,89500,6.9,28,5,9,No
46,7,97300,6.6,33,4,18,Yes
35,6,75800,7.2,48,5,15,Yes
30,7,79300,6.8,34,1,15,No
47,6,76200,8.0,62,4,16,Yes
23,7,115700,8.4,37,7,4,Yes
41,6,86700,5.9,39,10,18,No
49,4,80500,5.0,46,6,16,Yes
28,2,82500,4.1,16,4,5,No
29,3,74100,7.5,19,3,10,No
56,4,70100,5.3,17,3,12,No
35,7,81600,4.0,48,6,13,No
38,4,72900,7.4,33,3,14,No
57,3,69900,10.0,76,2,20,Yes
25,2,77900,6.7,32,2,17,No
23,6,81800,8.2,44,6,5,Yes
27,3,81500,6.9,57,8,15,Yes
25,5,76300,6.8,63,7,20,Yes
50,9,92700,8.5,67,3,17,Yes
39,6,51000,6.6,53,6,20,No
47,6,94700,7.4,52,9,25,Yes
55,9,96700,7.7,48,6,21,No
31,4,89000,5.9,46,4,13,No
57,9,48100,8.6,36,10,21,Yes
35,2,98300,6.4,28,4,12,Yes
52,10,92900,6.2,37,10,15,Yes
36,6,97600,7.7,38,7,11,Yes
29,9,75900,6.0,32,6,24,No
35,4,83200,6.9,47,4,7,No
44,1,47700,6.6,50,2,20,No
42,6,71600,8.5,43,4,16,Yes
37,8,116700,7.8,58,10,6,Yes
39,6,78100,6.9,25,4,15,Yes
45,2,70300,7.8,38,4,0,Yes
47,3,83600,8.7,34,4,15,No
46,5,84900,7.7,18,3,18,Yes
50,3,72800,6.8,38,3,8,No
36,3,76000,4.9,33,7,12,No
22,5,113600,5.4,54,7,24,Yes
46,6,80100,6.6,46,5,10,No
28,5,80500,6.0,25,7,6,No
30,3,86300,6.5,60,3,20,No
45,5,94100,7.0,54,2,24,No
22,3,88300,7.5,47,2,12,Yes
29,3,80100,6.6,35,3,18,No
45,6,63900,7.7,29,4,21,Yes
32,5,102000,7.0,35,9,8,No
38,6,63800,4.2,46,5,10,No
29,2,71500,5.3,58,8,18,No
56,4,62700,6.6,57,5,22,No
56,7,83500,5.4,30,5,17,Yes
54,6,85900,7.8,27,8,8,Yes
26,5,82300,9.0,45,6,24,No
60,4,80300,8.5,21,6,9,No
49,3,94700,6.4,42,1,9,No
28,3,77300,8.8,41,3,14,Yes
30,7,80800,7.3,34,2,23,No
29,7,99000,6.6,19,6,19,Yes
33,6,98800,6.1,43,9,15,No
55,6,62600,6.6,32,3,16,No
54,7,93500,6.5,24,2,14,No
44,8,98500,7.4,5,4,17,Yes
45,6,76500,7.2,39,4,0,No
58,3,91100,6.7,60,6,10,No
56,7,82200,7.7,60,5,15,Yes
43,5,79400,8.6,37,8,6,No
48,5,74900,8.2,34,5,15,No
56,7,84700,5.0,41,8,12,No
22,4,57600,3.2,19,3,23,No
56,9,69900,8.5,46,3,24,Yes
58,4,97900,4.9,44,5,9,No
35,5,64800,6.6,53,5,12,No
24,2,52100,5.0,34,3,11,Yes
22,6,48700,4.5,32,12,10,No
26,3,60900,7.5,29,5,13,No
47,6,61200,8.0,31,10,8,No
35,2,91600,5.9,34,6,4,No
60,3,85600,3.1,36,1,15,No
48,5,67200,6.1,48,7,16,No
30,3,104300,7.3,30,2,7,Yes
36,4,88700,4.7,52,6,17,No
36,5,72600,7.2,36,9,9,Yes
47,6,43500,7.0,39,6,15,No
34,3,104900,7.6,31,2,16,No
53,3,49700,6.9,10,1,11,No
60,4,49300,5.5,47,8,15,Yes
53,5,92800,8.6,51,8,9,Yes
25,4,110600,6.6,35,4,11,No
51,2,87800,6.6,39,1,10,Yes
58,6,89500,5.7,43,9,9,Yes
44,6,89900,6.4,19,4,12,Yes
60,8,100800,5.9,30,2,5,No
36,1,74900,6.3,47,2,8,No
50,6,85200,9.4,29,5,11,No
57,2,68600,4.7,38,7,9,No
34,5,76600,4.6,18,9,11,No
53,2,55700,8.7,48,5,11,Yes
28,6,76800,6.7,38,5,16,No
43,4,48600,5.9,17,5,17,No
49,3,69000,8.2,55,10,8,No
23,5,62700,6.1,28,8,5,No
27,6,64400,9.5,34,7,7,No
49,3,73200,7.7,43,2,9,No
49,4,94900,6.1,51,7,10,No
41,8,101800,10.0,33,7,9,Yes
