Sample_ID,Temperature_C,pH,Dissolved_Oxygen_pct,Agitation_RPM,Glucose_g_L,Biomass_g_L,Ethanol_g_L,CO2_mmol_L,Respiratory_Quotient,Pressure_kPa,Batch_Quality
FERM_0001,30.64,6.2,75.87,174.4,20.98,2.82,2.51,22.82,1.045,102.92,Good
FERM_0002,29.74,6.31,77.48,167.7,20.15,2.64,2.81,25.95,1.12,104.42,Good
FERM_0003,30.38,6.03,54.99,199.8,23.48,2.62,1.19,11.57,0.804,98.91,Needs_Review
FERM_0004,31.37,5.84,35.61,246.0,15.02,3.65,2.83,23.32,0.987,103.19,Good
FERM_0005,29.75,6.16,71.48,176.8,25.92,1.95,1.54,15.19,0.836,99.89,Good
FERM_0006,29.68,6.3,68.04,165.9,24.54,2.21,1.72,14.32,0.885,100.55,Needs_Review
FERM_0007,31.6,6.01,62.16,225.5,17.36,3.11,2.25,19.33,0.882,101.23,Good
FERM_0008,30.93,6.06,64.3,190.6,21.66,2.72,1.79,16.04,0.793,99.73,Good
FERM_0009,29.6,6.44,78.11,171.0,26.94,2.01,1.98,16.69,0.905,101.46,Needs_Review
FERM_0010,30.86,6.12,46.43,201.2,22.2,2.72,1.7,15.23,0.85,99.89,Good
FERM_0011,29.3,6.29,85.19,160.8,27.33,2.12,1.83,19.57,0.937,101.44,Good
FERM_0012,29.53,6.24,70.79,179.7,25.47,1.89,1.99,17.43,0.919,101.04,Needs_Review
FERM_0013,30.04,6.3,87.41,166.2,25.27,2.41,1.85,17.42,0.919,101.11,Good
FERM_0014,27.81,6.4,73.58,127.2,33.67,1.0,0.79,9.9,0.778,98.71,Needs_Review
FERM_0015,28.43,6.75,95.0,120.0,34.0,1.04,1.14,12.02,0.84,99.22,Needs_Review
FERM_0016,29.46,6.31,71.41,174.9,25.98,2.06,2.11,19.87,0.941,101.96,Needs_Review
FERM_0017,29.47,6.3,64.84,151.2,27.31,1.7,1.91,16.54,0.952,102.26,Needs_Review
FERM_0018,30.44,5.93,47.81,177.8,24.83,2.53,1.61,15.86,0.847,99.83,Needs_Review
FERM_0019,28.93,6.38,67.36,159.0,30.06,1.7,1.83,16.76,0.872,100.79,Needs_Review
FERM_0020,29.19,6.4,81.35,145.9,27.18,1.51,1.85,18.88,0.915,102.0,Needs_Review
FERM_0021,31.62,5.99,53.03,230.3,20.32,3.42,1.45,13.37,0.778,99.41,Good
FERM_0022,29.94,6.21,63.0,180.0,21.1,2.16,2.39,19.41,0.951,102.26,Needs_Review
FERM_0023,30.0,6.29,61.68,184.2,23.82,2.11,1.73,15.0,0.875,101.03,Needs_Review
FERM_0024,28.48,6.57,95.0,136.0,32.22,1.57,2.2,16.44,0.919,101.23,Good
FERM_0025,29.42,6.23,92.29,142.8,27.66,1.79,1.59,15.3,0.806,99.43,Good
FERM_0026,30.37,6.24,67.42,181.9,25.62,2.12,1.21,9.11,0.728,98.17,Needs_Review
FERM_0027,29.44,6.56,76.0,153.8,33.0,1.18,0.55,8.0,0.751,97.94,Needs_Review
FERM_0028,30.72,6.24,60.64,197.7,24.43,2.65,2.25,18.62,0.936,101.12,Good
FERM_0029,29.34,6.39,80.7,159.7,24.41,2.21,1.95,19.0,0.923,100.66,Needs_Review
FERM_0030,29.46,6.11,49.65,185.3,26.06,2.12,1.33,13.36,0.818,99.26,Needs_Review
FERM_0031,29.49,6.35,66.22,152.8,27.65,2.19,2.2,18.68,0.998,101.46,Needs_Review
FERM_0032,31.22,5.62,20.0,245.6,19.92,3.26,1.78,15.23,0.791,99.46,Needs_Review
FERM_0033,30.07,6.28,68.45,184.6,24.08,2.24,2.03,18.26,0.946,101.35,Good
FERM_0034,29.01,6.5,80.21,143.3,30.44,1.08,0.88,10.87,0.772,98.07,Needs_Review
FERM_0035,30.62,6.09,45.84,212.3,23.54,2.78,2.0,17.28,0.875,100.2,Needs_Review
FERM_0036,28.5,6.8,95.0,141.4,32.17,1.64,1.56,17.69,0.951,100.55,Needs_Review
FERM_0037,30.32,6.07,45.72,198.3,25.45,2.46,1.62,16.29,0.814,100.2,Needs_Review
FERM_0038,28.1,6.37,66.36,143.0,33.98,1.0,1.16,11.8,0.814,98.64,Needs_Review
FERM_0039,28.51,6.46,77.04,139.3,28.84,1.62,2.12,21.17,0.95,102.47,Needs_Review
FERM_0040,29.46,6.13,73.56,180.7,23.94,2.36,1.86,16.1,0.892,100.69,Needs_Review
FERM_0041,30.66,6.18,74.35,196.5,18.89,3.11,2.53,23.64,1.068,103.66,Good
FERM_0042,30.6,6.09,51.63,194.6,27.11,2.41,1.72,11.91,0.854,99.81,Needs_Review
FERM_0043,30.31,6.29,76.86,169.0,24.6,2.22,1.98,20.02,1.0,102.94,Needs_Review
FERM_0044,29.61,6.26,64.19,178.4,21.39,2.48,2.61,23.23,1.05,103.56,Good
FERM_0045,28.52,6.38,80.87,150.0,34.0,1.0,0.25,8.0,0.65,96.0,Needs_Review
FERM_0046,29.47,6.51,82.27,143.4,29.71,1.69,1.43,13.83,0.777,99.22,Needs_Review
FERM_0047,29.34,6.35,72.79,175.0,26.07,2.26,2.16,18.02,1.015,102.02,Needs_Review
FERM_0048,31.03,5.85,28.75,224.9,20.67,3.46,2.2,19.18,0.943,102.21,Needs_Review
FERM_0049,30.5,6.26,79.46,185.8,20.14,2.7,2.37,21.25,0.955,101.74,Good
FERM_0050,28.72,6.67,95.0,133.0,34.0,1.07,1.1,11.61,0.84,98.68,Needs_Review
FERM_0051,30.27,6.15,47.13,189.5,21.5,2.56,2.35,19.62,0.914,102.16,Good
FERM_0052,29.6,6.24,67.62,166.1,24.43,2.12,1.92,16.81,0.903,101.11,Good
FERM_0053,29.17,6.32,79.61,160.1,25.6,2.18,2.57,22.17,1.012,102.8,Good
FERM_0054,30.34,6.09,59.44,194.6,23.32,2.91,2.18,20.15,0.98,102.49,Good
FERM_0055,30.87,5.85,41.77,230.4,15.76,3.08,2.48,20.61,0.983,102.75,Good
FERM_0056,30.93,5.9,44.09,210.5,19.94,3.02,2.01,17.11,0.87,101.74,Needs_Review
FERM_0057,29.47,6.31,65.63,157.8,30.11,1.88,1.33,14.69,0.848,99.86,Needs_Review
FERM_0058,29.52,6.44,80.65,168.4,26.62,2.15,1.72,15.45,0.894,100.66,Good
FERM_0059,30.67,6.22,66.08,181.5,21.35,2.82,2.24,20.33,0.969,103.17,Good
FERM_0060,30.81,6.0,48.3,212.5,18.21,3.0,2.16,17.72,0.927,101.43,Good
