Area_sqft,Bedrooms,Bathrooms,Age_of_House,Distance_to_City_km,Parking_Spaces,Floor_Number,Nearby_Schools,Crime_Rate,House_Price
,2.0,2.0,19.0,8.7,2.0,1.0,6.0,7.1,336000
1388.0,2.0,,11.0,2.8,3.0,10.0,5.0,4.7,352000
,,3.0,17.0,9.6,1.0,8.0,7.0,3.9,375000
2135.0,4.0,,15.0,5.4,2.0,0.0,5.0,5.9,499000
1345.0,2.0,,23.0,,2.0,8.0,4.0,0.5,385000
1345.0,3.0,3.0,50.0,10.3,2.0,0.0,7.0,2.6,283000
,5.0,3.0,18.0,13.0,2.0,9.0,7.0,0.5,399000
1795.0,3.0,1.0,40.0,8.1,2.0,,,2.6,418000
1239.0,3.0,1.0,23.0,9.2,0.0,1.0,5.0,3.1,268000
1694.0,3.0,3.0,17.0,14.8,2.0,5.0,2.0,,402000
1241.0,2.0,,11.0,,1.0,5.0,3.0,0.5,333000
1240.0,3.0,2.0,,,-0.0,0.0,6.0,3.7,281000
,3.0,2.0,16.0,10.3,2.0,6.0,3.0,5.6,328000
600.0,2.0,1.0,9.0,1.0,3.0,7.0,,5.2,202000
674.0,,3.0,10.0,11.0,1.0,1.0,10.0,7.1,252000
1197.0,2.0,1.0,19.0,9.5,2.0,7.0,2.0,4.8,189000
994.0,2.0,1.0,39.0,13.2,3.0,8.0,9.0,5.2,220000
1591.0,3.0,2.0,14.0,10.7,3.0,5.0,4.0,1.2,248000
1041.0,2.0,2.0,,7.4,3.0,4.0,4.0,,301000
814.0,1.0,1.0,1.0,3.1,2.0,8.0,3.0,1.3,314000
2110.0,4.0,2.0,6.0,7.2,2.0,10.0,6.0,5.5,498000
1348.0,3.0,2.0,24.0,4.6,,8.0,2.0,5.1,353000
,2.0,2.0,5.0,5.7,1.0,0.0,,,285000
809.0,3.0,3.0,27.0,10.4,1.0,10.0,7.0,2.9,299000
1205.0,,2.0,23.0,14.7,3.0,2.0,3.0,2.7,168000
1500.0,2.0,1.0,14.0,9.6,1.0,,6.0,4.9,345000
932.0,3.0,,9.0,3.2,2.0,10.0,3.0,3.3,293000
1619.0,3.0,2.0,12.0,9.8,2.0,1.0,6.0,2.7,358000
1180.0,3.0,2.0,19.0,12.8,2.0,3.0,8.0,3.6,175000
1319.0,3.0,3.0,5.0,,3.0,3.0,4.0,3.3,371000
1179.0,2.0,1.0,37.0,7.5,1.0,,1.0,2.9,171000
